Iteration 161, Best Fitness: 1.3393
Iteration 162, Best Fitness: 1.3393
Iteration 163, Best Fitness: 1.3393
Iteration 164, Best Fitness: 1.3393
Iteration 165, Best Fitness: 1.3393
Iteration 166, Best Fitness: 1.3393
Iteration 167, Best Fitness: 1.3393
Iteration 168, Best Fitness: 1.3393
Iteration 169, Best Fitness: 1.3393
Iteration 170, Best Fitness: 1.3393
Iteration 171, Best Fitness: 1.3393
Iteration 172, Best Fitness: 1.3393
Iteration 173, Best Fitness: 1.3393
Iteration 174, Best Fitness: 1.3393
Iteration 175, Best Fitness: 1.3393
Iteration 176, Best Fitness: 1.3393
Iteration 177, Best Fitness: 1.3393
Iteration 178, Best Fitness: 1.3393
Iteration 179, Best Fitness: 1.3393
Iteration 180, Best Fitness: 1.3393
Iteration 181, Best Fitness: 1.3393
Iteration 182, Best Fitness: 1.3393
Iteration 183, Best Fitness: 1.3393
Iteration 184, Best Fitness: 1.3393
Iteration 185, Best Fitness: 1.3393
Iteration 186, Best Fitness: 1.3393
Iteration 187, Best Fitness: 1.3393
Iteration 188, Best Fitness: 1.3393
Iteration 189, Best Fitness: 1.3393
Iteration 190, Best Fitness: 1.3393
Iteration 191, Best Fitness: 1.3393
Iteration 192, Best Fitness: 1.3393
Iteration 193, Best Fitness: 1.3393
Iteration 194, Best Fitness: 1.3393
Iteration 195, Best Fitness: 1.3393
Iteration 196, Best Fitness: 1.3393
Iteration 197, Best Fitness: 1.3393
Iteration 198, Best Fitness: 1.3393
Iteration 199, Best Fitness: 1.3393
Iteration 200, Best Fitness: 1.3393
Iteration 201, Best Fitness: 1.3393
Iteration 202, Best Fitness: 1.3393
Iteration 203, Best Fitness: 1.3393
Iteration 204, Best Fitness: 1.3393
Iteration 205, Best Fitness: 1.3393
Iteration 206, Best Fitness: 1.3393
Iteration 207, Best Fitness: 1.3393
Iteration 208, Best Fitness: 1.3393
Iteration 209, Best Fitness: 1.3393
Iteration 210, Best Fitness: 1.3393
Iteration 211, Best Fitness: 1.3393
Iteration 212, Best Fitness: 1.3393
Iteration 213, Best Fitness: 1.3393
Iteration 214, Best Fitness: 1.3393
Iteration 215, Best Fitness: 1.3393
Iteration 216, Best Fitness: 1.3393
Iteration 217, Best Fitness: 1.3393
Iteration 218, Best Fitness: 1.3393
Iteration 219, Best Fitness: 1.3393
Iteration 220, Best Fitness: 1.3393
Iteration 221, Best Fitness: 1.3393
Iteration 222, Best Fitness: 1.3393
Iteration 223, Best Fitness: 1.3393
Iteration 224, Best Fitness: 1.3393
Iteration 225, Best Fitness: 1.3393
Iteration 226, Best Fitness: 1.3393
Iteration 227, Best Fitness: 1.3393
Iteration 228, Best Fitness: 1.3393
Iteration 229, Best Fitness: 1.3393
Iteration 230, Best Fitness: 1.3393
Iteration 231, Best Fitness: 1.3393
Iteration 232, Best Fitness: 1.3393
Iteration 233, Best Fitness: 1.3393
Iteration 234, Best Fitness: 1.3393
Iteration 235, Best Fitness: 1.3393
Iteration 236, Best Fitness: 1.3393
Iteration 237, Best Fitness: 1.3393
Iteration 238, Best Fitness: 1.3393
Iteration 239, Best Fitness: 1.3393
Iteration 240, Best Fitness: 1.3393
Iteration 241, Best Fitness: 1.3393
Iteration 242, Best Fitness: 1.3393
Iteration 243, Best Fitness: 1.3393
Iteration 244, Best Fitness: 1.3393
Iteration 245, Best Fitness: 1.3393
Iteration 246, Best Fitness: 1.3393
Iteration 247, Best Fitness: 1.3393
Iteration 248, Best Fitness: 1.3393
Iteration 249, Best Fitness: 1.3393
Iteration 250, Best Fitness: 1.3393
Iteration 251, Best Fitness: 1.3393
Iteration 252, Best Fitness: 1.3393
Iteration 253, Best Fitness: 1.3393
Iteration 254, Best Fitness: 1.3393
Iteration 255, Best Fitness: 1.3393
Iteration 256, Best Fitness: 1.3393
Iteration 257, Best Fitness: 1.3393
Iteration 258, Best Fitness: 1.3393
Iteration 259, Best Fitness: 1.3393
Iteration 260, Best Fitness: 1.3393
Iteration 261, Best Fitness: 1.3393
Iteration 262, Best Fitness: 1.3393
Iteration 263, Best Fitness: 1.3393
Iteration 264, Best Fitness: 1.3393
Iteration 265, Best Fitness: 1.3393
Iteration 266, Best Fitness: 1.3393
Iteration 267, Best Fitness: 1.3393
Iteration 268, Best Fitness: 1.3393
Iteration 269, Best Fitness: 1.3393
Iteration 270, Best Fitness: 1.3393
Iteration 271, Best Fitness: 1.3393
Iteration 272, Best Fitness: 1.3393
Iteration 273, Best Fitness: 1.3393
Iteration 274, Best Fitness: 1.3393
Iteration 275, Best Fitness: 1.3393
Iteration 276, Best Fitness: 1.3393
Iteration 277, Best Fitness: 1.3393
Iteration 278, Best Fitness: 1.3393
Iteration 279, Best Fitness: 1.3393
Iteration 280, Best Fitness: 1.3393
Iteration 281, Best Fitness: 1.3393
Iteration 282, Best Fitness: 1.3393
Iteration 283, Best Fitness: 1.3393
Iteration 284, Best Fitness: 1.3393
Iteration 285, Best Fitness: 1.3393
Iteration 286, Best Fitness: 1.3393
Iteration 287, Best Fitness: 1.3393
Iteration 288, Best Fitness: 1.3393
Iteration 289, Best Fitness: 1.3393
Iteration 290, Best Fitness: 1.3393
Iteration 291, Best Fitness: 1.3393
Iteration 292, Best Fitness: 1.3393
Iteration 293, Best Fitness: 1.3393
Iteration 294, Best Fitness: 1.3393
Iteration 295, Best Fitness: 1.3393
Iteration 296, Best Fitness: 1.3393
Iteration 297, Best Fitness: 1.3393
Iteration 298, Best Fitness: 1.3393
Iteration 299, Best Fitness: 1.3393
Iteration 300, Best Fitness: 1.3393
Iteration 301, Best Fitness: 1.3393
Iteration 302, Best Fitness: 1.3393
Iteration 303, Best Fitness: 1.3393
Iteration 304, Best Fitness: 1.3393
Iteration 305, Best Fitness: 1.3393
Iteration 306, Best Fitness: 1.3393
Iteration 307, Best Fitness: 1.3393
Iteration 308, Best Fitness: 1.3393
Iteration 309, Best Fitness: 1.3393
Iteration 310, Best Fitness: 1.3393
Iteration 311, Best Fitness: 1.3393
Iteration 312, Best Fitness: 1.3393
Iteration 313, Best Fitness: 1.3393
Iteration 314, Best Fitness: 1.3393
Iteration 315, Best Fitness: 1.3393
Iteration 316, Best Fitness: 1.3393
Iteration 317, Best Fitness: 1.3393
Iteration 318, Best Fitness: 1.3393
Iteration 319, Best Fitness: 1.3393
Iteration 320, Best Fitness: 1.3393
Iteration 321, Best Fitness: 1.3393
Iteration 322, Best Fitness: 1.3393
Iteration 323, Best Fitness: 1.3393
Iteration 324, Best Fitness: 1.3393
Iteration 325, Best Fitness: 1.3393
Iteration 326, Best Fitness: 1.3393
Iteration 327, Best Fitness: 1.3393
Iteration 328, Best Fitness: 1.3393
Iteration 329, Best Fitness: 1.3393
Iteration 330, Best Fitness: 1.3393
Iteration 331, Best Fitness: 1.3393
Iteration 332, Best Fitness: 1.3393
Iteration 333, Best Fitness: 1.3393
Iteration 334, Best Fitness: 1.3393
Iteration 335, Best Fitness: 1.3393
Iteration 336, Best Fitness: 1.3393
Iteration 337, Best Fitness: 1.3393
Iteration 338, Best Fitness: 1.3393
Iteration 339, Best Fitness: 1.3393
Iteration 340, Best Fitness: 1.3393
Iteration 341, Best Fitness: 1.3393
Iteration 342, Best Fitness: 1.3393
Iteration 343, Best Fitness: 1.3393
Iteration 344, Best Fitness: 1.3393
Iteration 345, Best Fitness: 1.3393
Iteration 346, Best Fitness: 1.3393
Iteration 347, Best Fitness: 1.3393
Iteration 348, Best Fitness: 1.3393
Iteration 349, Best Fitness: 1.3393
Iteration 350, Best Fitness: 1.3393
Iteration 351, Best Fitness: 1.3393
Iteration 352, Best Fitness: 1.3393
Iteration 353, Best Fitness: 1.3393
Iteration 354, Best Fitness: 1.3393
Iteration 355, Best Fitness: 1.3393
Iteration 356, Best Fitness: 1.3393
Iteration 357, Best Fitness: 1.3393
Iteration 358, Best Fitness: 1.3393
Iteration 359, Best Fitness: 1.3393
Iteration 360, Best Fitness: 1.3393
Iteration 361, Best Fitness: 1.3393
Iteration 362, Best Fitness: 1.3393
Iteration 363, Best Fitness: 1.3393
Iteration 364, Best Fitness: 1.3393
Iteration 365, Best Fitness: 1.3393
Iteration 366, Best Fitness: 1.3393
Iteration 367, Best Fitness: 1.3393
Iteration 368, Best Fitness: 1.3393
Iteration 369, Best Fitness: 1.3393
Iteration 370, Best Fitness: 1.3393
Iteration 371, Best Fitness: 1.3393
Iteration 372, Best Fitness: 1.3393
Iteration 373, Best Fitness: 1.3393
Iteration 374, Best Fitness: 1.3393
Iteration 375, Best Fitness: 1.3393
Iteration 376, Best Fitness: 1.3393
Iteration 377, Best Fitness: 1.3393
Iteration 378, Best Fitness: 1.3393
Iteration 379, Best Fitness: 1.3393
Iteration 380, Best Fitness: 1.3393
Iteration 381, Best Fitness: 1.3393
Iteration 382, Best Fitness: 1.3393
Iteration 383, Best Fitness: 1.3393
Iteration 384, Best Fitness: 1.3393
Iteration 385, Best Fitness: 1.3393
Iteration 386, Best Fitness: 1.3393
Iteration 387, Best Fitness: 1.3393
Iteration 388, Best Fitness: 1.3393
Iteration 389, Best Fitness: 1.3393
Iteration 390, Best Fitness: 1.3393
Iteration 391, Best Fitness: 1.3393
Iteration 392, Best Fitness: 1.3393
Iteration 393, Best Fitness: 1.3393
Iteration 394, Best Fitness: 1.3393
Iteration 395, Best Fitness: 1.3393
Iteration 396, Best Fitness: 1.3393
Iteration 397, Best Fitness: 1.3393
Iteration 398, Best Fitness: 1.3393
Iteration 399, Best Fitness: 1.3393
Iteration 400, Best Fitness: 1.3393
Iteration 401, Best Fitness: 1.3393
Iteration 402, Best Fitness: 1.3393
Iteration 403, Best Fitness: 1.3393
Iteration 404, Best Fitness: 1.3393
Iteration 405, Best Fitness: 1.3393
Iteration 406, Best Fitness: 1.3393
Iteration 407, Best Fitness: 1.3393
Iteration 408, Best Fitness: 1.3393
Iteration 409, Best Fitness: 1.3393
Iteration 410, Best Fitness: 1.3393
Iteration 411, Best Fitness: 1.3393
Iteration 412, Best Fitness: 1.3393
Iteration 413, Best Fitness: 1.3393
Iteration 414, Best Fitness: 1.3393
Iteration 415, Best Fitness: 1.3393
Iteration 416, Best Fitness: 1.3393
Iteration 417, Best Fitness: 1.3393
Iteration 418, Best Fitness: 1.3393
Iteration 419, Best Fitness: 1.3393
Iteration 420, Best Fitness: 1.3393
Iteration 421, Best Fitness: 1.3393
Iteration 422, Best Fitness: 1.3393
Iteration 423, Best Fitness: 1.3393
Iteration 424, Best Fitness: 1.3393
Iteration 425, Best Fitness: 1.3393
Iteration 426, Best Fitness: 1.3393
Iteration 427, Best Fitness: 1.3393
Iteration 428, Best Fitness: 1.3393
Iteration 429, Best Fitness: 1.3393
Iteration 430, Best Fitness: 1.3393
Iteration 431, Best Fitness: 1.3393
Iteration 432, Best Fitness: 1.3393
Iteration 433, Best Fitness: 1.3393
Iteration 434, Best Fitness: 1.3393
Iteration 435, Best Fitness: 1.3393
Iteration 436, Best Fitness: 1.3393
Iteration 437, Best Fitness: 1.3393
Iteration 438, Best Fitness: 1.3393
Iteration 439, Best Fitness: 1.3393
Iteration 440, Best Fitness: 1.3393
Iteration 441, Best Fitness: 1.3393
Iteration 442, Best Fitness: 1.3393
Iteration 443, Best Fitness: 1.3393
Iteration 444, Best Fitness: 1.3393
Iteration 445, Best Fitness: 1.3393
Iteration 446, Best Fitness: 1.3393
Iteration 447, Best Fitness: 1.3393
